Finished,User Language,"If the UU offered an optional physical student card, would you request it?",Why? - Selected Choice,Why? - Another reason: - Text,"If you could request a physical student card but would have to contribute towards the cost of printing it, would you?",How much would you be willing to pay?,"Do you have any comments, suggestions, or questions regarding the digital-only student card policy of the UU? (optional)"
True,EN,Yes,"I want to spend less time on my phone,I want to be able to access buildings and prove my student status if my phone is out of battery,I think the university should be less dependent on digital infrastructure,I would like to be able to access buildings and prove my student status without needing access to 4G,I would like to be able to access student buildings without needing to carry my smartphone with me,All of the above",,Yes,Between 5 and 10 EUR,
True,EN,Yes,"I want to be able to access buildings and prove my student status if my phone is out of battery,I think the university should be less dependent on digital infrastructure,I think a physical card would be a nice memento of my time at university,I would like to be able to access buildings and prove my student status without needing access to 4G,I would like to be able to access student buildings without needing to carry my smartphone with me",,Maybe,Less than 5 EUR,
True,EN,Maybe,"I want to be able to access buildings and prove my student status if my phone is out of battery,I think the university should be less dependent on digital infrastructure,I think a physical card would be a nice memento of my time at university,I would like to be able to access buildings and prove my student status without needing access to 4G,I would like to be able to access student buildings without needing to carry my smartphone with me",,No,,
True,EN,Yes,"I want to be able to access buildings and prove my student status if my phone is out of battery,I think the university should be less dependent on digital infrastructure,I think a physical card would be a nice memento of my time at university,I would like to be able to access buildings and prove my student status without needing access to 4G",,Yes,More than 15 EUR,
True,EN,Yes,"I want to be able to access buildings and prove my student status if my phone is out of battery,I think the university should be less dependent on digital infrastructure,I think a physical card would be a nice memento of my time at university,I would like to be able to access buildings and prove my student status without needing access to 4G,I would like to be able to access student buildings without needing to carry my smartphone with me",,Yes,Between 5 and 10 EUR,It's about time someone took an interest into this matter. Make some noise.
True,EN,Yes,I think a physical card would be a nice memento of my time at university,,Maybe,Less than 5 EUR,
True,EN,Yes,"I want to spend less time on my phone,I want to be able to access buildings and prove my student status if my phone is out of battery,I think the university should be less dependent on digital infrastructure,I think a physical card would be a nice memento of my time at university,I would like to be able to access buildings and prove my student status without needing access to 4G,I would like to be able to access student buildings without needing to carry my smartphone with me,All of the above",,Yes,Less than 5 EUR,
False,EN,No,,,No,,
True,EN,Maybe,"I think the university should be less dependent on digital infrastructure,I would like to be able to access buildings and prove my student status without needing access to 4G,I would like to be able to access student buildings without needing to carry my smartphone with me,Another reason:",I despise the deeply integrated IT infrastructure. I'd compare the UU to a smart toaster that can't work because it has to update its software to include artificial intelligence. ,Maybe,Less than 5 EUR,"If they insist on keeping a digital-only student card, then at the very least make it work offline. 
Software that unnecessarily phones home is a big no-no. "
True,EN,Yes,"I want to be able to access buildings and prove my student status if my phone is out of battery,I think the university should be less dependent on digital infrastructure,I would like to be able to access buildings and prove my student status without needing access to 4G,I would like to be able to access student buildings without needing to carry my smartphone with me",,Yes,Between 5 and 10 EUR,"That digital-only is too strict, digital-default makes more sense"
True,EN,Yes,"I want to spend less time on my phone,I want to be able to access buildings and prove my student status if my phone is out of battery,I think the university should be less dependent on digital infrastructure,I think a physical card would be a nice memento of my time at university,I would like to be able to access buildings and prove my student status without needing access to 4G,I would like to be able to access student buildings without needing to carry my smartphone with me",,Yes,Between 5 and 10 EUR,
True,EN,Yes,I want to spend less time on my phone,,Yes,Between 5 and 10 EUR,
True,EN,Yes,"I want to spend less time on my phone,I would like to be able to access student buildings without needing to carry my smartphone with me",,Yes,Between 10 and 15 EUR,
True,EN,Yes,"I want to be able to access buildings and prove my student status if my phone is out of battery,I think the university should be less dependent on digital infrastructure,I think a physical card would be a nice memento of my time at university",,Yes,Between 5 and 10 EUR,
True,EN,Yes,All of the above,,Maybe,0 EUR,
True,EN,Yes,"I want to spend less time on my phone,I want to be able to access buildings and prove my student status if my phone is out of battery,I think a physical card would be a nice memento of my time at university,I would like to be able to access buildings and prove my student status without needing access to 4G,I would like to be able to access student buildings without needing to carry my smartphone with me",,Yes,Between 5 and 10 EUR,
True,EN,Yes,"I want to spend less time on my phone,I want to be able to access buildings and prove my student status if my phone is out of battery,I think a physical card would be a nice memento of my time at university,I would like to be able to access buildings and prove my student status without needing access to 4G,I would like to be able to access student buildings without needing to carry my smartphone with me",,Yes,Between 5 and 10 EUR,
True,EN,Yes,"I want to be able to access buildings and prove my student status if my phone is out of battery,I would like to be able to access student buildings without needing to carry my smartphone with me",,Yes,Between 5 and 10 EUR,
True,EN,Yes,"I want to spend less time on my phone,I want to be able to access buildings and prove my student status if my phone is out of battery,I think the university should be less dependent on digital infrastructure,I think a physical card would be a nice memento of my time at university,I would like to be able to access buildings and prove my student status without needing access to 4G,I would like to be able to access student buildings without needing to carry my smartphone with me,All of the above",,Yes,Between 10 and 15 EUR,
True,EN,Yes,"I want to spend less time on my phone,I want to be able to access buildings and prove my student status if my phone is out of battery,I think the university should be less dependent on digital infrastructure,I think a physical card would be a nice memento of my time at university,I would like to be able to access buildings and prove my student status without needing access to 4G,I would like to be able to access student buildings without needing to carry my smartphone with me,All of the above",,Maybe,Between 5 and 10 EUR,
True,EN,Yes,"I want to spend less time on my phone,I want to be able to access buildings and prove my student status if my phone is out of battery,I think the university should be less dependent on digital infrastructure,I would like to be able to access buildings and prove my student status without needing access to 4G,I would like to be able to access student buildings without needing to carry my smartphone with me,Another reason:","'- the digital student card does not have the EU certified student card logo and is fully in Dutch, making it difficult to use it to get a student discount outside of the Netherlands (for example to access a museum while on vacation). Often, it kind of ends up like ""I'm a student, just trust me. My university doesn't offer physical student cards for some reason"" and then it's up to the poor employee having to judge whether or not I'm lying. It is awkward, frustrating, and entirely avoidable by simply having an internationally recognised card like everyone else.

- loading the app, logging in, and using the 2FA takes a lot of time, which often results in me causing a delay and making people wait. This creates frustration in me, the person serving me and people behind me in line. If I'm on my phone in line to open it in advance that's rude, if I don't have it open yet that's also rude. You cannot win. And ofc there is the often recurring frustrating situation where an employee asks for my student card, I go to open the app, this takes forever, a line forms behind me, and RIGHT as I'm almost there, the employee goes ""Never mind, I believe you're a student"". In short, the long time it takes to start up makes it frustrating and unpleasant to use, causing trouble to not just myself but also others.

- It is above here as well, but I cannot stress enough how annoying it is to need to have a charged phone with access to wifi or 4G on you at all times. It makes navigating the world if your phone dies or breaks, or if you're in a place without 4G or wifi nearly impossible. Not to mention that not everyone can afford unlimited data. And especially when studying! It is well-known that having your phone on your person when studying makes it harder to concentrate. The n1 study tip every professional gives is to put your phone in a different room. What does the university do? Make this physically impossible! It makes no sense to me.",Yes,Between 5 and 10 EUR,"Please start offering a variety of options. It's fine if the online card is the only free one, but let students pick which option serves them and their needs best.

And while we're at it, please also consider giving more options for 2FA than just the one that requires a smartphone. I understand that via text is more likely to be intercepted, but if it's safe enough for access to government agencies like DUO and the belastingdienst, it's also safe enough for access to a student's grades or homework. If the text option is only available for the app and Brightspace, which students use daily, but not for Osiris, which carries the most sensitive information, I think that would already be a win."
True,EN,Yes,All of the above,,Yes,Less than 5 EUR,
True,EN,Yes,"I want to spend less time on my phone,I want to be able to access buildings and prove my student status if my phone is out of battery,I think the university should be less dependent on digital infrastructure,I would like to be able to access student buildings without needing to carry my smartphone with me",,Yes,Between 5 and 10 EUR,"The university makes the argument that it is somehow easy to fake a student ID card. However, it is way, WAY easier to fake a letter of enrollment. On top of that, they make an argument that the cards are hard to retract. I disagree! If you need to scan your card when you come in and the computer checks against a central database, then erasing an entry is trivial. Boom! Card de-activated. The current system is also easy to fake, since you can take a screenshot and put that on your phone. You can even edit the screenshot. I can say from experience that this method works, which is not possible with a physical card that you scan. What a dumb reasoning!"
True,EN,Yes,"I want to be able to access buildings and prove my student status if my phone is out of battery,I think the university should be less dependent on digital infrastructure,I think a physical card would be a nice memento of my time at university",,Yes,Between 5 and 10 EUR,
True,EN,Yes,"I think the university should be less dependent on digital infrastructure,I think a physical card would be a nice memento of my time at university,I would like to be able to access student buildings without needing to carry my smartphone with me,All of the above",,Yes,Between 5 and 10 EUR,
True,EN,Yes,"I want to be able to access buildings and prove my student status if my phone is out of battery,I think the university should be less dependent on digital infrastructure,I think a physical card would be a nice memento of my time at university,I would like to be able to access student buildings without needing to carry my smartphone with me",,Yes,More than 15 EUR,
True,EN,Yes,"I want to spend less time on my phone,I want to be able to access buildings and prove my student status if my phone is out of battery,I would like to be able to access buildings and prove my student status without needing access to 4G,I would like to be able to access student buildings without needing to carry my smartphone with me",,Maybe,Less than 5 EUR,
True,EN,Yes,"All of the above,Another reason:","Convenience, due to the forced login+2FA required to access the digital card (~40s)",Yes,Between 10 and 15 EUR,"Unpleasant manifestation of bureaucracy and overextended will to safety (which cumulatively must constitute a few years wasted for every academic year, assuming one has to use it at least once a week)."
True,EN,Yes,"I want to spend less time on my phone,I want to be able to access buildings and prove my student status if my phone is out of battery,I think a physical card would be a nice memento of my time at university,I would like to be able to access buildings and prove my student status without needing access to 4G",,Yes,Between 5 and 10 EUR,"I don't really understand why it's ""logistically difficult"" due to the production and distribution, if they were able to do it before for everyone. Requesting it on a site and then picking it up at a service desk doesn't seem that difficult, so I wonder why they say there aren't any good options"
